chorus_id,text_len,rest_chorus,model_tone,model_theme,annotation_success,human_tone,human_theme,ambiguity_flag
1,398,False,T2,TH2,True,,,
2,345,False,T1,TH1,True,,,
3,507,False,T2,TH2,True,,,
4,487,False,T2,TH2,True,,,
5,412,False,T3,TH1,True,,,
6,616,False,T1,TH1,True,,,
7,402,False,T1,TH1,True,,,
8,445,False,T2,TH2,True,,,
9,497,False,T2,TH4,True,,,
10,458,False,T2,TH2,True,,,
11,139,True,T2,TH2,True,,,
12,316,False,T3,TH4,True,,,
13,412,False,T5,TH4,True,,,
14,444,False,T2,TH2,True,,,
15,245,False,T1,TH1,True,,,
16,275,False,T2,TH2,True,,,
17,399,False,T1,TH3,True,,,
18,415,False,T1,TH1,True,,,
19,473,False,T1,TH3,True,,,
20,646,False,T2,TH2,True,,,
21,460,False,T5,TH4,True,,,
22,500,False,T2,TH2,True,,,
23,398,False,T2,TH2,True,,,
24,561,False,T5,TH1,True,,,
25,552,False,T1,TH1,True,,,
26,574,False,T2,TH2,True,,,
27,538,False,T2,TH2,True,,,
28,574,False,T1,TH6,True,,,
29,482,False,T2,TH2,True,,,
30,493,False,T2,TH2,True,,,
31,519,False,T1,TH1,True,,,
32,540,False,T2,TH2,True,,,
33,538,False,T5,TH2,True,,,
34,467,False,T1,TH6,True,,,
35,497,False,T2,TH2,True,,,
36,455,True,T2,TH2,True,,,
37,491,False,T2,TH2,True,,,
38,504,False,T5,TH4,True,,,
39,517,False,T2,TH2,True,,,
40,463,False,T2,TH2,True,,,
41,356,False,T1,TH1,True,,,
42,549,False,T2,TH2,True,,,
43,512,False,T2,TH2,True,,,
44,509,False,T3,TH5,True,,,
45,444,False,T2,TH2,True,,,
46,568,False,T2,TH2,True,,,
47,458,False,T2,TH2,True,,,
48,513,False,T2,TH2,True,,,
49,413,False,T2,TH2,True,,,
50,546,False,T2,TH2,True,,,
51,552,False,T1,TH4,True,,,
52,582,False,T3,TH1,True,,,
53,584,False,T2,TH2,True,,,
54,471,False,T2,TH2,True,,,
55,583,False,T3,TH1,True,,,
56,469,False,T5,TH3,True,,,
57,527,False,T5,TH5,True,,,
58,569,False,T5,TH5,True,,,
59,569,False,T5,TH5,True,,,
60,502,False,T1,TH1,True,,,
61,491,False,T1,TH1,True,,,
62,437,False,T3,TH4,True,,,
63,470,False,T1,TH1,True,,,
64,570,False,T2,TH4,True,,,
65,544,False,T2,TH2,True,,,
66,436,False,T1,TH1,True,,,
67,471,False,T1,TH1,True,,,
68,416,False,T2,TH2,True,,,
69,237,False,T1,TH1,True,,,
70,339,False,T3,TH1,True,,,
71,294,False,T3,TH4,True,,,
72,272,False,T1,TH1,True,,,
73,240,False,T2,TH2,True,,,
74,254,False,T2,TH2,True,,,
75,235,False,T2,TH2,True,,,
76,400,False,T2,TH2,True,,,
77,243,False,T2,TH4,True,,,
78,150,False,T4,TH4,True,,,
79,340,False,T2,TH2,True,,,
80,373,False,T4,TH3,True,,,
81,309,False,T2,TH2,True,,,
82,217,False,T2,TH2,True,,,
83,177,False,T2,TH2,True,,,
84,279,False,T2,TH2,True,,,
85,248,False,T2,TH2,True,,,
86,297,False,T5,TH1,True,,,
87,697,False,T2,TH2,True,,,
